,OFFENSE_CODE,Lat,Long
14,619,42.34767067,-71.07620742
29,615,42.28943324,-71.0605219
36,619,42.26897529,-71.17183138
52,619,42.35131763,-71.05838367
54,619,42.35285118,-71.06096412
59,619,42.2843982,-71.06468373
66,617,42.25556696,-71.11902026
74,619,42.37081805,-71.03929078
84,361,42.30044505,-71.06958552
89,619,42.25661385,-71.14449037
97,614,42.31252546,-71.07389321
99,613,42.34442266,-71.09833083
100,614,42.34416701,-71.10359107
125,619,42.33506218,-71.09316781
135,617,42.34645033,-71.15981173
147,616,42.31893277,-71.04541663
157,520,42.33551534,-71.10083207
159,619,42.29848866,-71.06313294
169,617,42.352366,-71.06833609
171,619,42.30203902,-71.06009072
175,619,42.32874077,-71.08771559
177,619,42.35042708,-71.13496065
179,619,42.32809966,-71.06321676
181,619,42.27631028,-71.12253393
183,619,42.30638316,-71.08435635
184,619,42.33954199,-71.06940877
188,616,42.34412628,-71.09942777
191,617,42.38134495,-71.03238071
199,619,42.31878665,-71.04178884
201,619,42.30999052,-71.10588122
204,619,42.36175678,-71.13215014
221,613,42.3479724,-71.07849582
223,615,42.34940629,-71.15920581
230,619,42.29406247,-71.09004553
231,619,42.35301119,-71.13261451
246,619,42.33748963,-71.10880593
249,617,42.38099773,-71.06210065
253,619,42.35969525,-71.05401301
254,616,42.32077767,-71.10553808
257,619,42.33857,-71.10670681
258,614,42.38132613,-71.06528357
262,617,42.31860134,-71.08405792
265,617,42.35591935,-71.06000539
267,619,42.3132476,-71.08692603
268,619,42.29257648,-71.07179406
270,619,42.32969471,-71.0704441
272,619,42.29860932,-71.11223703
277,617,42.33326722,-71.05048119
278,619,42.3494205,-71.083158
282,619,42.28757867,-71.0752731
283,619,42.30748039,-71.10649768
284,617,42.29755533,-71.0597091
287,619,42.28314378,-71.06766456
291,617,42.30090969,-71.07425843
296,617,42.34862382,-71.08277637
306,619,42.31495383,-71.11410163
307,617,42.3532601,-71.06283216
310,617,42.37427412,-71.0590238
322,619,42.33557815,-71.03867318
323,619,42.34999733,-71.0810344
333,614,42.31069447,-71.11468072
336,617,42.27884982,-71.08204913
337,619,42.28642835,-71.15427278
339,619,42.26283035,-71.10809203
340,619,42.32701648,-71.10555088
346,617,42.35064439,-71.06811584
350,520,42.31359091,-71.05432387
352,619,42.31684532,-71.06556419
362,617,42.38291031,-71.01860585
366,522,42.37051212,-71.0422466
367,520,42.28813676,-71.09475747
371,619,42.32696647,-71.06198607
383,614,42.37172389,-71.0403902
389,619,42.28272973,-71.08038688
402,613,42.26701085,-71.12096171
409,617,42.3479724,-71.07849582
411,617,42.33744152,-71.10428096
418,522,42.35153421,-71.12710744
430,619,42.30044505,-71.06958552
431,617,42.35645598,-71.13725124
433,619,42.33046611,-71.04513271
445,617,42.34160357,-71.0977175
449,619,42.35200052,-71.1531271
457,619,42.34556708,-71.07147876
458,617,42.35397632,-71.06207046
460,617,42.34862382,-71.08277637
461,617,42.32947458,-71.10442024
463,619,42.27840639,-71.09572184
465,614,42.3191711,-71.09192415
468,619,42.33852947,-71.10768028
484,614,42.33791824,-71.1486764
485,540,42.35156644,-71.04835172
492,614,42.28645725,-71.05461417
497,617,42.34862382,-71.08277637
506,619,42.23727444,-71.12624263
509,301,42.30716141,-71.08705012
510,617,42.34241352,-71.14460462
514,520,42.34793774,-71.15676006
521,617,42.33825572,-71.07920918
524,617,42.37805345,-71.06676655
526,617,42.33110131,-71.10870352
530,614,42.3125963,-71.09287584
543,619,42.33267994,-71.109579
546,617,42.323323,-71.11420092
551,619,42.2997969,-71.06533457
553,520,42.31197821,-71.09737435
557,617,42.28092154,-71.08766264
558,619,42.35358822,-71.12689571
572,522,42.33765093,-71.07215567
575,619,42.29151152,-71.15683676
578,614,42.38356715,-71.01770574
579,614,42.35590084,-71.07058043
585,522,42.30878855,-71.09055618
588,520,42.35501072,-71.12887911
592,615,42.34715987,-71.07026381
596,616,42.37698788,-71.05954336
598,562,42.35110337,-71.16524536
609,617,42.29547748,-71.06365819
610,540,42.28397463,-71.05553564
613,619,42.3506124,-71.06535718
614,301,42.35122731,-71.05621744
615,614,42.34369048,-71.09739817
616,522,42.35811526,-71.12761368
618,522,42.31495383,-71.11410163
619,522,42.26984836,-71.09532394
623,522,42.35681945,-71.1626016
633,613,42.3575462,-71.05881953
650,619,42.38222195,-71.08031197
657,614,42.35925113,-71.05415945
663,614,42.28640447,-71.11826711
667,617,42.24950364,-71.13165831
672,614,42.29001018,-71.05268862
685,617,42.35602373,-71.06177615
687,301,42.293755,-71.05789109
688,520,42.27698082,-71.12679675
692,361,42.34828759,-71.07891773
693,301,42.30896597,-71.08447123
694,522,42.30665904,-71.06256742
719,613,42.35512339,-71.0608798
724,301,42.30711484,-71.08425151
733,617,42.31949779,-71.09707352
743,520,42.33183572,-71.10432873
750,613,42.33401829,-71.07638124
767,520,42.27458078,-71.11766502
778,612,42.35272948,-71.06256291
779,613,42.36020464,-71.05620816
781,613,42.34749899,-71.07925506
782,613,42.34862382,-71.08277637
784,613,42.2518944,-71.1253531
786,617,42.32553801,-71.06579592
794,361,42.35118005,-71.07666607
809,617,42.35128926,-71.14146034
816,560,42.29330376,-71.0885899
823,614,42.31682858,-71.09938107
824,617,,
833,613,42.3649755,-71.062044
850,613,42.35724324,-71.05849672
856,614,42.3436134,-71.10130276
869,614,42.3465382,-71.09880598
873,361,42.28576084,-71.09030349
880,613,42.35512339,-71.0608798
882,522,42.31176766,-71.09971564
883,614,,
890,613,42.34439568,-71.08632016
892,301,42.31209619,-71.06084426
900,613,42.3160569,-71.07820017
903,522,42.36402978,-71.1286334
914,613,42.34862382,-71.08277637
915,613,42.2777688,-71.09334841
925,611,42.3653748,-71.06154162
926,301,42.29023297,-71.12015968
934,611,42.31193403,-71.1142909
935,522,42.27308641,-71.080129
938,619,42.34044735,-71.08188142
941,617,42.34710196,-71.08841746
