Count of Points,Area in Square Kilometers,Population Count (100%),Housing Unit Count (100%),Total Population 2010,Population Density 2010,Total Area 2010 (square miles),2010 Housing Units:,2010 Occupied Units,2010 Vacant Units,% 2010 Occupied Units,% 2010 Vacant Units,% White 2010,% Black 2010,% American Indian 2010,% Asian 2010,% Native Pacific Islander 2010,% Other 2010,% Multiracial 2010,Crime Rate
98,0.43338377,3115,1397,3115,18615.8095,0.1673,1397,1256,141,89.91,10.09,8.44,71.11,0.67,0.58,0,13.52,5.68,31.46067416
39,0.39215836,2815,1278,2815,18591.5274,0.1514,1278,1158,120,90.61,9.39,6.11,77.9,0.71,0.67,0.04,10.3,4.26,13.85435169
60,0.37057658,5025,2117,5025,35120.0687,0.1431,2117,2035,82,96.13,3.87,7.96,66.77,0.86,0.68,0.02,18.45,5.27,11.94029851
124,0.44699537,4571,1863,4571,26485.5638,0.1726,1863,1681,182,90.23,9.77,5.51,76.29,0.85,0.7,0.04,11.73,4.88,27.12754321
69,0.27367298,2233,830,2233,21132.8318,0.1057,830,772,58,93.01,6.99,10.03,57.5,0.85,2.02,0.18,23.91,5.51,30.90013435
59,0.38039333,3179,1268,3179,21644.8521,0.1469,1268,1123,145,88.56,11.44,9.97,64.39,0.63,0.88,0.06,18.5,5.57,18.55929538
48,0.42513483,3659,1294,3659,22291.1924,0.1641,1294,1148,146,88.72,11.28,10.6,58.9,1.18,0.98,0.08,19.49,8.77,13.11833834
31,0.30166507,2348,793,2348,20159.1566,0.1165,793,720,73,90.79,9.21,9.92,43.31,0.68,1.53,0.13,34.03,10.39,13.20272572
270,1.07256101,4275,1990,4275,10323.045,0.4141,1990,1832,158,92.06,7.94,64.26,9.22,0.33,17.47,0,5.82,2.9,63.15789474
16,1.52252678,3730,1640,3730,8235.4174,0.5879,1640,1540,100,93.9,6.1,44.88,20.38,0.54,19.89,0.13,10.56,3.62,4.289544236
60,1.63643591,2742,1315,2742,5984.8537,0.6322,1315,1236,79,93.99,6.01,60.65,11.52,0.04,18.85,0.07,5.22,3.65,21.88183807
63,0.42389759,4861,1966,4861,29700.3099,0.1637,1966,1792,174,91.15,8.85,50.26,13.31,0.33,25.04,0.19,6.58,4.3,12.96029624
55,0.32361156,3234,1239,3234,25882.9128,0.1249,1239,1160,79,93.62,6.38,35.9,26.53,0.34,6.12,0.19,22.42,8.5,17.00680272
17,0.2625608,2499,868,2499,24651.0512,0.1014,868,790,78,91.01,8.99,12.65,37.05,0.48,3.32,0.08,36.01,10.4,6.802721088
39,0.32502443,2741,939,2741,21842.2162,0.1255,939,879,60,93.61,6.39,15.07,50.09,0.4,0.99,0.04,24.66,8.76,14.2283838
64,0.40416583,4370,1653,4370,28003.9577,0.156,1653,1470,183,88.93,11.07,14.32,43.2,0.25,4.65,0.02,27.67,9.89,14.64530892
78,0.31269554,3138,1165,3138,25991.1555,0.1207,1165,1043,122,89.53,10.47,15.58,34.38,0.29,25.91,0,16.76,7.07,24.85659656
71,0.28932582,3069,1050,3069,27473.164,0.1117,1050,917,133,87.33,12.67,11.53,51.97,0.85,4.14,0,22.48,9.03,23.13457152
56,0.43206193,3452,1214,3452,20693.0007,0.1668,1214,1042,172,85.83,14.17,8.52,56.4,0.49,1.74,0,25.78,7.07,16.22247972
64,0.48198232,3860,1380,3860,20742.0432,0.1861,1380,1244,136,90.14,9.86,7.28,75.57,0.91,0.31,0,10.8,5.13,16.58031088
86,0.4897385,4945,1693,4945,26151.7726,0.1891,1693,1532,161,90.49,9.51,10.39,58.34,0.34,9.5,0.2,13.89,7.32,17.39130435
131,1.35607018,6451,2454,6451,12932.2386,0.5238,2454,2252,202,91.77,8.23,32.86,23.14,0.39,31.7,0.05,7.44,4.42,20.30692916
91,0.58130462,3349,1227,3349,14921.4005,0.2244,1227,1134,93,92.42,7.58,25.65,44.82,0.48,16.18,0,7.82,5.05,27.17229024
90,0.34297681,2893,1077,2893,21846.6568,0.1324,1077,956,121,88.77,11.23,5.53,79.99,0.31,0.73,0,8.37,5.08,31.10957484
77,0.59401155,5277,2065,5277,23008.6475,0.2293,2065,1873,192,90.7,9.3,7.77,71.82,0.99,0.89,0,12.98,5.55,14.59162403
115,1.03788594,5510,2047,5510,13761.5068,0.4004,2047,1895,152,92.57,7.43,8.26,70.96,0.45,0.96,0.07,14.68,4.61,20.87114338
52,0.35059274,2787,1013,2787,20588.8798,0.1354,1013,905,108,89.34,10.66,3.73,83.21,0.5,0.97,0,7.46,4.13,18.65805526
41,0.49187961,3303,1262,3303,17391.9406,0.1899,1262,1121,141,88.83,11.17,5.45,83.26,0.24,0.7,0,6.15,4.21,12.41295792
60,0.62617426,4865,1830,4865,20122.7003,0.2418,1830,1695,135,92.62,7.38,13.32,71.14,0.43,4.83,0,5.53,4.75,12.33299075
107,0.85893187,5989,2383,5989,18058.9827,0.3316,2383,2174,209,91.23,8.77,17.37,59.19,0.67,9.55,0.03,8.16,5.03,17.86608783
32,0.55258708,5154,2192,5154,24157.0042,0.2134,2192,2028,164,92.52,7.48,43.02,29.92,0.17,16.38,0.04,6.71,3.76,6.208769887
40,1.2301483,1904,840,1904,5562.8986,0.4753,840,754,86,89.76,10.24,72.53,13.55,0.05,8.4,0.11,2.84,2.52,21.00840336
53,1.37721716,4322,1975,4322,9298.2324,0.5318,1975,1873,102,94.84,5.16,90.26,3.63,0.19,3.86,0,1.06,0.99,12.26284128
51,1.90768007,5546,2702,5546,8134.6765,0.7368,2702,2524,178,93.41,6.59,54.78,26.34,0.29,11.22,0.02,2.98,4.38,9.195816805
81,1.00121126,4072,1729,4072,11037.6623,0.3869,1729,1610,119,93.12,6.88,24.68,60.46,0.12,6.9,0.07,3.95,3.81,19.89194499
106,1.30213152,5480,2266,5480,10949.1016,0.5025,2266,2127,139,93.87,6.13,4.58,85.64,0.55,0.26,0,5.55,3.43,19.34306569
53,1.16958017,4979,2149,4979,11067.1279,0.4519,2149,1968,181,91.58,8.42,6.39,81.14,0.7,1.08,0.06,6.27,4.36,10.64470777
37,0.37976885,3155,1160,3155,21516.8528,0.1466,1160,1048,112,90.34,9.66,2.16,84.79,0.25,0.06,0.03,7.96,4.75,11.7274168
122,0.56124122,4396,1672,4396,20286.3411,0.2167,1672,1511,161,90.37,9.63,3.94,87.56,0.57,0.59,0.07,4.37,2.91,27.75250227
