,OFFENSE_CODE,Lat,Long
2,619,42.35344834,-71.05658072
6,619,42.33916952,-71.10358341
18,522,42.3420185,-71.08566213
22,619,42.33311034,-71.04418934
37,619,42.29070005,-71.06991285
50,617,42.28743327,-71.12510302
104,619,42.28665378,-71.12665398
112,614,,
118,617,42.33731438,-71.04852327
127,619,42.38229155,-71.04036424
135,619,42.34241352,-71.14460462
141,619,42.35972137,-71.0585236
146,619,42.33767954,-71.05715261
147,617,42.33219302,-71.04505385
159,619,42.2921753,-71.17519031
167,619,42.2539599,-71.11962283
174,619,42.32829858,-71.05691804
176,619,42.35909731,-71.14728364
181,616,42.33760828,-71.07333879
185,616,42.3635655,-71.06449385
187,619,42.28647169,-71.12419976
204,619,42.37949215,-71.03685008
214,619,42.29714531,-71.07409528
218,619,42.32790482,-71.05305583
222,619,42.32491307,-71.0767717
223,619,42.3021009,-71.07172101
230,619,42.31904705,-71.09399992
233,617,42.28275134,-71.14216426
250,619,42.30540715,-71.06547135
251,617,42.38399469,-71.01971252
254,619,42.28446743,-71.11183089
268,614,42.3787592,-71.05598086
285,615,42.27930648,-71.1190981
286,614,42.33561661,-71.03641895
296,619,42.35044939,-71.06087148
307,619,42.30137775,-71.05971354
322,619,42.27057076,-71.1045161
328,619,42.30684828,-71.06392365
331,617,42.33744152,-71.10428096
336,619,42.27230624,-71.06721386
338,619,42.32053872,-71.11086853
340,616,42.34748342,-71.13363158
341,619,42.36173448,-71.06386593
343,619,42.35521625,-71.06012863
347,619,42.30589325,-71.11708789
356,619,42.3479724,-71.07849582
365,619,42.29330376,-71.0885899
370,619,42.29326831,-71.05006449
380,619,42.30253596,-71.10460649
383,619,42.24824519,-71.119587
399,617,42.35014612,-71.13607618
402,616,42.34909822,-71.07929618
410,619,42.35053712,-71.04873486
414,619,42.35528211,-71.14566136
426,617,42.36384816,-71.0569508
450,301,42.35241815,-71.06525499
456,617,42.34947586,-71.0764015
458,615,42.32545165,-71.08677983
462,619,42.30762176,-71.07752554
465,614,42.37419663,-71.05972003
466,619,42.259082,-71.159586
485,619,42.39352862,-71.01158244
491,619,42.37907259,-71.03386728
496,619,42.3508856,-71.11477924
505,617,42.34163892,-71.05156725
508,619,42.27060214,-71.10360606
509,522,42.34109374,-71.15425331
511,619,42.36109742,-71.06206081
514,614,42.34265518,-71.07911521
515,614,42.34862382,-71.08277637
519,619,42.36038173,-71.06285769
527,614,42.30859903,-71.10539197
542,617,42.26442723,-71.15808937
548,617,42.34163892,-71.05156725
549,560,42.2914411,-71.04594321
555,619,42.35988372,-71.06016189
556,619,42.37248334,-71.03752375
564,619,42.31733171,-71.08569645
569,614,42.30734156,-71.1054409
572,619,42.3642384,-71.06165515
574,619,42.3191711,-71.09192415
586,614,42.31190475,-71.05910531
589,617,42.33698515,-71.07258823
591,619,42.34163892,-71.05156725
592,616,42.34423781,-71.0629644
593,617,42.34906578,-71.13414695
594,617,42.34163892,-71.05156725
595,617,42.35174282,-71.0627594
603,616,42.34175462,-71.0685477
608,616,42.3122892,-71.11960554
619,619,42.36950697,-71.03747222
630,619,42.32207031,-71.07653035
634,619,42.33428841,-71.07239518
640,617,42.34660366,-71.09497996
642,617,42.34044966,-71.08845935
645,617,42.293755,-71.05789109
652,616,42.34640381,-71.07551289
657,614,42.30500848,-71.06606441
661,616,42.34840576,-71.08688339
665,301,42.33928728,-71.08032619
670,522,42.32643571,-71.10411063
687,617,42.28741228,-71.05793993
691,616,42.36489527,-71.06050249
695,617,42.34163892,-71.05156725
698,619,42.34840576,-71.08688339
700,619,42.28220579,-71.07791871
701,619,42.2969956,-71.15768601
702,617,42.2969956,-71.15768601
705,616,42.345691,-71.063365
713,619,42.35566664,-71.1324473
720,617,42.32270922,-71.09932317
730,617,42.32042206,-71.09360887
733,614,42.37724639,-71.03259708
735,522,42.34338684,-71.07474635
736,617,42.34617476,-71.0792592
738,614,42.30406722,-71.06760042
739,619,42.30406722,-71.06760042
741,617,42.34163892,-71.05156725
742,613,42.35343384,-71.13786355
744,619,42.33789449,-71.09306889
745,617,42.33401829,-71.07638124
747,619,42.30700371,-71.08313157
751,520,42.33676619,-71.08205122
755,615,42.34143223,-71.06495494
756,520,42.29641938,-71.06864617
761,617,42.25914491,-71.12914703
767,619,42.35031462,-71.06670795
774,522,42.31482241,-71.06524172
783,616,42.33849306,-71.0485035
787,617,42.31987076,-71.07096263
794,540,42.27380942,-71.11996035
795,616,42.3313633,-71.113019
798,617,42.33090984,-71.05286826
799,614,42.37787573,-71.03995208
804,614,42.35468361,-71.1347462
810,614,42.3320438,-71.10101376
811,614,42.351084,-71.059395
812,542,42.35125902,-71.06009371
816,616,42.34234193,-71.05633276
818,614,42.33835433,-71.1483583
820,617,42.34932471,-71.08014801
858,616,42.35265547,-71.15429991
861,617,42.35445939,-71.13091268
877,617,42.32935284,-71.05601628
879,613,42.35174282,-71.0627594
881,311,42.33186291,-71.1123942
895,613,42.35803568,-71.0623396
904,613,42.29848866,-71.06313294
906,520,42.3427105,-71.08679117
908,613,42.29234068,-71.04803996
909,613,42.3479724,-71.07849582
911,614,42.34130609,-71.1449128
912,619,42.34750472,-71.0934647
914,617,42.28785272,-71.07803392
920,614,42.27914992,-71.06473356
924,613,42.37421104,-71.03918485
925,301,42.29131613,-71.07170293
928,613,42.34813158,-71.08027002
934,617,42.34044966,-71.08845935
938,613,42.35095909,-71.0741278
939,616,42.3360292,-71.07517847
949,615,42.34898076,-71.06729522
970,617,42.35115368,-71.17291563
972,615,42.31358712,-71.06303152
981,614,42.38197028,-71.03475395
987,614,42.27905838,-71.07114319
988,613,42.35602373,-71.06177615
992,619,42.31667114,-71.09743705
996,614,42.31591905,-71.09691295
1007,540,42.32206077,-71.05680459
1012,361,42.3420185,-71.08566213
1028,619,42.3665398,-71.03548437
1032,613,42.34221544,-71.08577075
1039,613,42.35343384,-71.13786355
1057,301,42.30021684,-71.0809794
1062,613,42.34937839,-71.13249037
1064,614,42.3680977,-71.03606404
1071,301,42.28329074,-71.08916307
1074,614,42.36183857,-71.05976489
1080,613,42.29012204,-71.08964896
1081,617,42.26735874,-71.10283107
1095,613,42.34442266,-71.09833083
1097,613,42.34932471,-71.08014801
1103,617,42.30055518,-71.11312439
1116,613,42.34895777,-71.08489204
1122,613,42.29234068,-71.04803996
1126,311,42.30573977,-71.06762362
1131,617,42.30883387,-71.11036413
1138,613,42.34862382,-71.08277637
1140,613,42.34862382,-71.08277637
1143,614,42.31667114,-71.09743705
1144,615,42.34872509,-71.06773619
1147,613,42.35602373,-71.06177615
1150,617,42.3451828,-71.10066932
1167,522,42.31417607,-71.05850298
1168,617,42.28863337,-71.08990388
1169,617,42.35043273,-71.1271048
1171,617,42.34296464,-71.08244713
1177,617,42.3520464,-71.06992523
1178,614,42.3470248,-71.08516365
1179,617,42.34114797,-71.08246189
1198,613,42.29848866,-71.06313294
1203,613,42.34932471,-71.08014801
1211,613,42.35095909,-71.0741278
1215,614,,
1224,613,42.29848866,-71.06313294
1239,614,42.31359796,-71.09039946
1240,1304,42.31359796,-71.09039946
1241,614,42.30492239,-71.10298073
1246,615,42.288705,-71.07810765
1250,1304,42.26623736,-71.16843346
1253,613,42.35272948,-71.06256291
1258,615,42.32665471,-71.10679596
1263,614,42.34338684,-71.07474635
1276,540,42.32665471,-71.10679596
1278,619,42.30465964,-71.0580552
1289,613,42.37515337,-71.06409893
1291,614,42.35249436,-71.0613928
1301,613,42.29767279,-71.04941018
1315,613,42.35997967,-71.05474135
1328,301,42.34780605,-71.06264722
