Count of Points,Area in Square Kilometers,Population Count (100%),Housing Unit Count (100%),Total Population 2010,Population Density 2010,Total Area 2010 (square miles),2010 Housing Units:,2010 Occupied Units,2010 Vacant Units,% 2010 Occupied Units,% 2010 Vacant Units,White 2010,Black 2010,American Indian 2010,Asian 2010,Native Pacific Islander 2010,Other 2010,Multiracial 2010,% White 2010,% Black 2010,% American Indian 2010,% Asian 2010,% Native Pacific Islander 2010,% Other 2010,% Multiracial 2010,Non-Hispanic 2010,Hispanic 2010,% Non-Hispanic 2010,% Hispanic 2010,2010 Hispanic,2010 Non-Hispanic:,2010 White,2010 Black,2010 American Indian,2010 Asian,2010 Native Pacific Islander,2010 Other,2010 Multiracial,% 2010 Hispanic,% 2010 Non-Hispanic:,% 2010 White,% 2010 Black,% 2010 American Indian,% 2010 Asian,% 2010 Native Pacific Islander,% 2010 Other,% 2010 Multiracial,Population 18 Years and Over 2010:,White 18 Years and Over 2010,Black 18 Years and Over 2010,American Indian 18 Years and Over 2010,Asian 18 Years and Over 2010,Native Pacific Islander 18 Years and Over 2010,Other 18 Years and Over 2010,Multiracial 18 Years and Over 2010,% White 18 Years and Over 2010,% Black 18 Years and Over 2010,% American Indian 18 Years and Over 2010,% Asian 18 Years and Over 2010,% Native Pacific Islander 18 Years and Over 2010,% Other 18 Years and Over 2010,% Multiracial 18 Years and Over 2010,2010 Hispanic 18 Years and Over,2010 Non-Hispanic 18 Years and Over:,2010 Non-Hispanic White 18 Years and Over,2010 Non-Hispanic Black 18 Years and Over,2010 Non-Hispanic American Indian 18 Years and Over,2010 Non-Hispanic Asian 18 Years and Over,2010 Non-Hispanic Native Pacific Islander 18 Years and Over,2010 Non-Hispanic Other 18 Years and Over,2010 Non-Hispanic Multiracial 18 Years and Over,% 2010 Hispanic 18 Years and Over,% 2010 Non-Hispanic 18 Years and Over:,% 2010 Non-Hispanic White 18 Years and Over,% 2010 Non-Hispanic Black 18 Years and Over,% 2010 Non-Hispanic American Indian 18 Years and Over,% 2010 Non-Hispanic Asian 18 Years and Over,% 2010 Non-Hispanic Native Pacific Islander 18 Years and Over,% 2010 Non-Hispanic Other 18 Years and Over,% 2010 Non-Hispanic Multiracial 18 Years and Over,Crime Rate
48,0.25471086,3173,1283,3173,32264.7756,0.0983,1283,1188,95,92.6,7.4,2248,93,4,672,1,51,104,70.85,2.93,0.13,21.18,0.03,1.61,3.28,2995,178,94.39,5.61,178,2995,2134,90,3,669,0,7,92,5.61,94.39,67.25,2.84,0.09,21.08,0,0.22,2.9,3142,2229,91,4,662,1,51,104,70.94,2.9,0.13,21.07,0.03,1.62,3.31,176,2966,2117,88,3,659,0,7,92,5.6,94.4,67.38,2.8,0.1,20.97,0,0.22,2.93,15.12763946
21,0.5092091,4861,416,4861,24724.5363,0.1966,416,395,21,94.95,5.05,3558,413,6,484,5,234,161,73.19,8.5,0.12,9.96,0.1,4.81,3.31,4404,457,90.6,9.4,457,4404,3381,377,3,477,4,19,143,9.4,90.6,69.55,7.76,0.06,9.81,0.08,0.39,2.94,4727,3520,380,6,481,5,182,153,74.47,8.04,0.13,10.18,0.11,3.85,3.24,388,4339,3359,345,3,474,4,19,135,8.21,91.79,71.06,7.3,0.06,10.03,0.08,0.4,2.86,4.320098745
67,0.0885564,3003,2076,3003,87828.4245,0.0342,2076,2025,51,97.54,2.46,1830,317,10,632,0,105,109,60.94,10.56,0.33,21.05,0,3.5,3.63,2710,293,90.24,9.76,293,2710,1686,295,10,628,0,10,81,9.76,90.24,56.14,9.82,0.33,20.91,0,0.33,2.7,2898,1792,288,10,615,0,93,100,61.84,9.94,0.35,21.22,0,3.21,3.45,262,2636,1657,273,10,612,0,10,74,9.04,90.96,57.18,9.42,0.35,21.12,0,0.35,2.55,22.31102231
26,0.13682904,5817,1862,5817,110107.9464,0.0528,1862,1810,52,97.21,2.79,4308,269,10,943,5,116,166,74.06,4.62,0.17,16.21,0.09,1.99,2.85,5431,386,93.36,6.64,386,5431,4068,259,4,936,4,23,137,6.64,93.36,69.93,4.45,0.07,16.09,0.07,0.4,2.36,5733,4277,245,6,931,5,112,157,74.6,4.27,0.1,16.24,0.09,1.95,2.74,363,5370,4048,238,4,924,4,23,129,6.33,93.67,70.61,4.15,0.07,16.12,0.07,0.4,2.25,4.469657899
82,0.36370054,5522,994,5522,39323.1649,0.1404,994,966,28,97.18,2.82,4000,471,18,719,2,131,181,72.44,8.53,0.33,13.02,0.04,2.37,3.28,5087,435,92.12,7.88,435,5087,3767,426,10,717,2,15,150,7.88,92.12,68.22,7.71,0.18,12.98,0.04,0.27,2.72,5402,3970,420,13,709,2,118,170,73.49,7.77,0.24,13.12,0.04,2.18,3.15,383,5019,3754,390,9,708,2,15,141,7.09,92.91,69.49,7.22,0.17,13.11,0.04,0.28,2.61,14.84969214
40,0.04338082,1426,961,1426,85136.8776,0.0167,961,943,18,98.13,1.87,1098,55,2,207,1,33,30,77,3.86,0.14,14.52,0.07,2.31,2.1,1293,133,90.67,9.33,133,1293,1014,50,2,206,1,1,19,9.33,90.67,71.11,3.51,0.14,14.45,0.07,0.07,1.33,1380,1081,39,2,202,1,28,27,78.33,2.83,0.14,14.64,0.07,2.03,1.96,115,1265,1008,35,2,201,1,1,17,8.33,91.67,73.04,2.54,0.14,14.57,0.07,0.07,1.23,28.05049088
103,0.19860868,3044,1767,3044,41817.2069,0.0768,1767,1655,112,93.66,6.34,2163,322,5,405,1,73,75,71.06,10.58,0.16,13.3,0.03,2.4,2.46,2753,291,90.44,9.56,291,2753,1970,308,4,405,1,12,53,9.56,90.44,64.72,10.12,0.13,13.3,0.03,0.39,1.74,2929,2099,288,5,398,1,65,73,71.66,9.83,0.17,13.59,0.03,2.22,2.49,261,2668,1923,278,4,398,1,12,52,8.91,91.09,65.65,9.49,0.14,13.59,0.03,0.41,1.78,33.8370565
657,0.33950613,2858,2325,2858,21802.8768,0.1311,2325,1854,471,79.74,20.26,2275,141,3,362,0,33,44,79.6,4.93,0.1,12.67,0,1.15,1.54,2702,156,94.54,5.46,156,2702,2159,134,2,361,0,6,40,5.46,94.54,75.54,4.69,0.07,12.63,0,0.21,1.4,2679,2126,139,3,346,0,29,36,79.36,5.19,0.11,12.92,0,1.08,1.34,143,2536,2019,133,2,345,0,4,33,5.34,94.66,75.36,4.96,0.07,12.88,0,0.15,1.23,229.8810357
183,0.20231588,2478,1599,2478,31722.4468,0.0781,1599,1396,203,87.3,12.7,2105,61,2,215,0,36,59,84.95,2.46,0.08,8.68,0,1.45,2.38,2342,136,94.51,5.49,136,2342,2009,57,2,211,0,14,49,5.49,94.51,81.07,2.3,0.08,8.51,0,0.56,1.98,2367,2002,61,2,209,0,35,58,84.58,2.58,0.08,8.83,0,1.48,2.45,135,2232,1907,57,2,205,0,13,48,5.7,94.3,80.57,2.41,0.08,8.66,0,0.55,2.03,73.84987893
351,0.29998407,2400,1643,2400,20721.2163,0.1158,1643,1402,241,85.33,14.67,2144,59,2,124,1,26,44,89.33,2.46,0.08,5.17,0.04,1.08,1.83,2298,102,95.75,4.25,102,2298,2080,53,2,122,1,3,37,4.25,95.75,86.67,2.21,0.08,5.08,0.04,0.12,1.54,2235,1999,59,2,117,1,26,31,89.44,2.64,0.09,5.23,0.04,1.16,1.39,99,2136,1936,53,2,117,1,3,24,4.43,95.57,86.62,2.37,0.09,5.23,0.04,0.13,1.07,146.25
17,0.12790537,2783,1899,2783,56353.8298,0.0494,1899,1651,248,86.94,13.06,2440,72,3,186,0,22,60,87.68,2.59,0.11,6.68,0,0.79,2.16,2644,139,95.01,4.99,139,2644,2336,62,3,186,0,5,52,4.99,95.01,83.94,2.23,0.11,6.68,0,0.18,1.87,2608,2294,72,3,172,0,21,46,87.96,2.76,0.12,6.6,0,0.81,1.76,131,2477,2196,62,3,172,0,4,40,5.02,94.98,84.2,2.38,0.12,6.6,0,0.15,1.53,6.10851599
16,0.15546816,3059,2106,3059,50961.1255,0.06,2106,1871,235,88.84,11.16,2630,50,0,279,0,34,66,85.98,1.63,0,9.12,0,1.11,2.16,2940,119,96.11,3.89,119,2940,2542,47,0,277,0,15,59,3.89,96.11,83.1,1.54,0,9.06,0,0.49,1.93,2854,2455,50,0,267,0,31,51,86.02,1.75,0,9.36,0,1.09,1.79,113,2741,2371,47,0,265,0,12,46,3.96,96.04,83.08,1.65,0,9.29,0,0.42,1.61,5.230467473
52,0.22313971,4193,2814,4193,48667.7527,0.0862,2814,2473,341,87.88,12.12,3896,29,1,187,1,31,48,92.92,0.69,0.02,4.46,0.02,0.74,1.14,4054,139,96.68,3.32,139,4054,3782,26,1,186,1,19,39,3.32,96.68,90.2,0.62,0.02,4.44,0.02,0.45,0.93,3729,3472,28,1,172,1,21,34,93.11,0.75,0.03,4.61,0.03,0.56,0.91,116,3613,3378,25,1,171,1,11,26,3.11,96.89,90.59,0.67,0.03,4.59,0.03,0.29,0.7,12.40162175
45,0.11689091,3649,2478,3649,80850.5746,0.0451,2478,2302,176,92.9,7.1,3160,127,3,239,0,46,74,86.6,3.48,0.08,6.55,0,1.26,2.03,3475,174,95.23,4.77,174,3475,3039,121,3,236,0,10,66,4.77,95.23,83.28,3.32,0.08,6.47,0,0.27,1.81,3494,3051,103,2,232,0,40,66,87.32,2.95,0.06,6.64,0,1.14,1.89,163,3331,2933,99,2,230,0,8,59,4.67,95.33,83.94,2.83,0.06,6.58,0,0.23,1.69,12.33214579
61,0.25658907,2023,1414,2023,20446.3694,0.0989,1414,1250,164,88.4,11.6,1485,54,2,417,0,23,42,73.41,2.67,0.1,20.61,0,1.14,2.08,1915,108,94.66,5.34,108,1915,1403,51,2,416,0,4,39,5.34,94.66,69.35,2.52,0.1,20.56,0,0.2,1.93,1906,1410,53,2,390,0,23,28,73.98,2.78,0.1,20.46,0,1.21,1.47,98,1808,1338,50,2,389,0,4,25,5.14,94.86,70.2,2.62,0.1,20.41,0,0.21,1.31,30.15323777
18,0.07678032,1181,721,1181,39837.1471,0.0296,721,675,46,93.62,6.38,1060,31,2,60,0,12,16,89.75,2.62,0.17,5.08,0,1.02,1.35,1120,61,94.83,5.17,61,1120,1011,31,1,60,0,3,14,5.17,94.83,85.61,2.62,0.08,5.08,0,0.25,1.19,1124,1005,31,2,58,0,12,16,89.41,2.76,0.18,5.16,0,1.07,1.42,51,1073,966,31,1,58,0,3,14,4.54,95.46,85.94,2.76,0.09,5.16,0,0.27,1.25,15.24132091
114,0.52760034,3400,1847,3400,19619.3726,0.2033,1847,1632,215,88.36,11.64,2364,575,6,331,1,43,80,69.53,16.91,0.18,9.74,0.03,1.26,2.35,3027,373,89.03,10.97,373,3027,2047,564,6,329,1,8,72,10.97,89.03,60.21,16.59,0.18,9.68,0.03,0.24,2.12,3172,2235,539,6,303,1,34,54,70.46,16.99,0.19,9.55,0.03,1.07,1.7,348,2824,1933,530,6,301,1,6,47,10.97,89.03,60.94,16.71,0.19,9.49,0.03,0.19,1.48,33.52941176
8,0.0763459,1954,1377,1954,66288.169,0.0295,1377,1276,101,92.67,7.33,1868,20,0,31,2,20,13,95.6,1.02,0,1.59,0.1,1.02,0.67,1886,68,96.52,3.48,68,1886,1818,19,0,30,2,5,12,3.48,96.52,93.04,0.97,0,1.54,0.1,0.26,0.61,1892,1811,20,0,31,2,19,9,95.72,1.06,0,1.64,0.11,1,0.48,61,1831,1766,19,0,30,2,5,9,3.22,96.78,93.34,1,0,1.59,0.11,0.26,0.48,4.094165814
30,0.06671202,1665,1103,1665,64641.9634,0.0258,1103,1044,59,94.65,5.35,1580,8,7,37,1,10,22,94.89,0.48,0.42,2.22,0.06,0.6,1.32,1596,69,95.86,4.14,69,1596,1523,8,6,36,1,6,16,4.14,95.86,91.47,0.48,0.36,2.16,0.06,0.36,0.96,1597,1516,8,7,36,1,8,21,94.93,0.5,0.44,2.25,0.06,0.5,1.31,60,1537,1468,8,6,35,1,4,15,3.76,96.24,91.92,0.5,0.38,2.19,0.06,0.25,0.94,18.01801802
579,0.92587482,4872,2960,4872,18251.1445,0.3579,2960,2468,492,83.38,16.62,4141,265,14,286,1,74,91,85,5.44,0.29,5.87,0.02,1.52,1.87,4633,239,95.09,4.91,239,4633,3988,250,12,286,1,18,78,4.91,95.09,81.86,5.13,0.25,5.87,0.02,0.37,1.6,4604,3933,252,13,268,1,65,72,85.43,5.47,0.28,5.82,0.02,1.41,1.56,215,4389,3793,237,11,268,1,16,63,4.67,95.33,82.38,5.15,0.24,5.82,0.02,0.35,1.37,118.8423645
42,0.10863196,2451,1659,2451,58434.764,0.0419,1659,1513,146,91.2,8.8,2311,14,6,74,0,22,24,94.29,0.57,0.24,3.02,0,0.9,0.98,2373,78,96.82,3.18,78,2373,2253,13,5,74,0,6,22,3.18,96.82,91.92,0.53,0.2,3.02,0,0.24,0.9,2345,2217,13,6,69,0,20,20,94.54,0.55,0.26,2.94,0,0.85,0.85,71,2274,2164,12,5,69,0,6,18,3.03,96.97,92.28,0.51,0.21,2.94,0,0.26,0.77,17.13586291
13,0.48342014,2538,1656,2538,34463.6486,0.1866,1656,1457,199,87.98,12.02,2362,16,0,108,0,26,26,93.07,0.63,0,4.26,0,1.02,1.02,2445,93,96.34,3.66,93,2445,2294,13,0,107,0,7,24,3.66,96.34,90.39,0.51,0,4.22,0,0.28,0.95,2425,2262,16,0,99,0,24,24,93.28,0.66,0,4.08,0,0.99,0.99,90,2335,2197,13,0,98,0,5,22,3.71,96.29,90.6,0.54,0,4.04,0,0.21,0.91,5.12214342
19,0.32421333,2168,1239,2168,21651.3933,0.1251,1239,1188,51,95.88,4.12,2077,12,3,46,0,13,17,95.8,0.55,0.14,2.12,0,0.6,0.78,2127,41,98.11,1.89,41,2127,2052,11,2,46,0,1,15,1.89,98.11,94.65,0.51,0.09,2.12,0,0.05,0.69,1931,1850,12,2,43,0,11,13,95.81,0.62,0.1,2.23,0,0.57,0.67,34,1897,1828,11,2,43,0,1,12,1.76,98.24,94.67,0.57,0.1,2.23,0,0.05,0.62,8.763837638
20,0.14357207,1606,727,1606,28972.2762,0.0554,727,663,64,91.2,8.8,1008,278,5,130,0,146,39,62.76,17.31,0.31,8.09,0,9.09,2.43,1255,351,78.14,21.86,351,1255,861,224,2,130,0,15,23,21.86,78.14,53.61,13.95,0.12,8.09,0,0.93,1.43,1173,799,161,4,96,0,96,17,68.12,13.73,0.34,8.18,0,8.18,1.45,190,983,729,137,1,96,0,9,11,16.2,83.8,62.15,11.68,0.09,8.18,0,0.77,0.94,12.45330012
32,0.28009845,3882,2037,3882,35895.7701,0.1081,2037,1894,143,92.98,7.02,3301,183,8,149,1,142,98,85.03,4.71,0.21,3.84,0.03,3.66,2.52,3498,384,90.11,9.89,384,3498,3169,138,1,146,0,1,43,9.89,90.11,81.63,3.55,0.03,3.76,0,0.03,1.11,3239,2863,112,6,121,1,79,57,88.39,3.46,0.19,3.74,0.03,2.44,1.76,226,3013,2782,82,1,118,0,1,29,6.98,93.02,85.89,2.53,0.03,3.64,0,0.03,0.9,8.243173622
30,0.45842653,2439,1222,2439,14695.9844,0.177,1222,1174,48,96.07,3.93,2070,67,5,204,1,47,45,84.87,2.75,0.21,8.36,0.04,1.93,1.85,2295,144,94.1,5.9,144,2295,2002,50,4,203,1,5,30,5.9,94.1,82.08,2.05,0.16,8.32,0.04,0.21,1.23,2036,1768,40,3,168,1,31,25,86.84,1.96,0.15,8.25,0.05,1.52,1.23,86,1950,1731,33,2,167,1,1,15,4.22,95.78,85.02,1.62,0.1,8.2,0.05,0.05,0.74,12.300123
17,1.84762231,2444,1334,2444,4436.1449,0.7129,1334,1238,96,92.8,7.2,2284,38,0,89,1,9,23,93.45,1.55,0,3.64,0.04,0.37,0.94,2386,58,97.63,2.37,58,2386,2235,36,0,89,1,5,20,2.37,97.63,91.45,1.47,0,3.64,0.04,0.2,0.82,2204,2072,31,0,80,1,8,12,94.01,1.41,0,3.63,0.05,0.36,0.54,48,2156,2031,30,0,80,1,4,10,2.18,97.82,92.15,1.36,0,3.63,0.05,0.18,0.45,6.955810147
35,1.7049347,3900,2089,3900,10605.4547,0.6587,2089,1876,213,89.8,10.2,2424,371,14,721,8,239,123,62.15,9.51,0.36,18.49,0.21,6.13,3.15,3287,613,84.28,15.72,613,3287,2139,305,9,720,8,35,71,15.72,84.28,54.85,7.82,0.23,18.46,0.21,0.9,1.82,3171,2141,233,7,561,7,143,79,67.52,7.35,0.22,17.69,0.22,4.51,2.49,389,2782,1955,197,4,560,7,17,42,12.27,87.73,61.65,6.21,0.13,17.66,0.22,0.54,1.32,8.974358974
38,0.48428792,5115,1850,5115,44192.882,0.1867,1850,1713,137,92.59,7.41,2984,208,31,293,0,1295,304,58.34,4.07,0.61,5.73,0,25.32,5.94,1975,3140,38.61,61.39,3140,1975,1428,132,11,287,0,29,88,61.39,38.61,27.92,2.58,0.22,5.61,0,0.57,1.72,3785,2264,157,22,224,0,928,190,59.82,4.15,0.58,5.92,0,24.52,5.02,2138,1647,1243,102,7,221,0,21,53,56.49,43.51,32.84,2.69,0.18,5.84,0,0.55,1.4,7.42913001
87,0.24326995,5231,1834,5231,55691.6835,0.0939,1834,1695,139,92.42,7.58,3013,200,22,129,2,1518,347,57.6,3.82,0.42,2.47,0.04,29.02,6.63,1804,3427,34.49,65.51,3427,1804,1353,135,8,129,1,96,82,65.51,34.49,25.87,2.58,0.15,2.47,0.02,1.84,1.57,3899,2250,141,15,100,2,1153,238,57.71,3.62,0.38,2.56,0.05,29.57,6.1,2426,1473,1122,102,5,100,1,87,56,62.22,37.78,28.78,2.62,0.13,2.56,0.03,2.23,1.44,16.63161919
44,0.71942809,2251,1041,2251,16407.553,0.2782,1041,973,68,93.47,6.53,1066,312,15,237,0,464,157,47.36,13.86,0.67,10.53,0,20.61,6.97,1223,1028,54.33,45.67,1028,1223,650,231,4,236,0,40,62,45.67,54.33,28.88,10.26,0.18,10.48,0,1.78,2.75,1734,895,212,9,190,0,314,114,51.61,12.23,0.52,10.96,0,18.11,6.57,693,1041,596,167,2,189,0,36,51,39.97,60.03,34.37,9.63,0.12,10.9,0,2.08,2.94,19.54686806
18,0.13197888,2372,1035,2372,46548.705,0.051,1035,967,68,93.43,6.57,1639,90,9,67,0,458,109,69.1,3.79,0.38,2.82,0,19.31,4.6,1168,1204,49.24,50.76,1204,1168,935,66,5,63,0,52,47,50.76,49.24,39.42,2.78,0.21,2.66,0,2.19,1.98,1961,1383,78,7,49,0,357,87,70.53,3.98,0.36,2.5,0,18.2,4.44,943,1018,830,58,4,48,0,43,35,48.09,51.91,42.33,2.96,0.2,2.45,0,2.19,1.78,7.588532884
10,0.11477355,1857,702,1857,41905.3934,0.0443,702,659,43,93.87,6.13,1309,60,0,50,0,341,97,70.49,3.23,0,2.69,0,18.36,5.22,861,996,46.37,53.63,996,861,710,29,0,48,0,43,31,53.63,46.37,38.23,1.56,0,2.58,0,2.32,1.67,1481,1051,49,0,39,0,269,73,70.97,3.31,0,2.63,0,18.16,4.93,744,737,604,29,0,39,0,39,26,50.24,49.76,40.78,1.96,0,2.63,0,2.63,1.76,5.385029618
29,0.16922806,2063,806,2063,31573.4611,0.0653,806,746,60,92.56,7.44,1278,57,8,46,1,522,151,61.95,2.76,0.39,2.23,0.05,25.3,7.32,689,1374,33.4,66.6,1374,689,523,40,5,45,0,44,32,66.6,33.4,25.35,1.94,0.24,2.18,0,2.13,1.55,1632,1020,47,7,33,1,411,113,62.5,2.88,0.43,2.02,0.06,25.18,6.92,1053,579,442,32,5,33,0,39,28,64.52,35.48,27.08,1.96,0.31,2.02,0,2.39,1.72,14.05719825
32,0.27172527,4504,1606,4504,42930.2423,0.1049,1606,1455,151,90.6,9.4,2451,124,34,88,7,1571,229,54.42,2.75,0.75,1.95,0.16,34.88,5.08,1598,2906,35.48,64.52,2906,1598,1225,82,5,86,0,154,46,64.52,35.48,27.2,1.82,0.11,1.91,0,3.42,1.02,3493,1935,98,31,68,4,1182,175,55.4,2.81,0.89,1.95,0.11,33.84,5.01,2141,1352,1053,66,5,68,0,124,36,61.29,38.71,30.15,1.89,0.14,1.95,0,3.55,1.03,7.104795737
36,0.80907532,4165,1446,4165,17542.2649,0.3124,1446,1324,122,91.56,8.44,2772,99,19,93,0,981,201,66.55,2.38,0.46,2.23,0,23.55,4.83,1461,2704,35.08,64.92,2704,1461,1215,70,3,86,0,50,37,64.92,35.08,29.17,1.68,0.07,2.06,0,1.2,0.89,3167,2133,82,15,79,0,727,131,67.35,2.59,0.47,2.49,0,22.96,4.14,1928,1239,1039,60,1,74,0,40,25,60.88,39.12,32.81,1.89,0.03,2.34,0,1.26,0.79,8.643457383
15,1.25445872,4089,1784,4089,10141.157,0.4842,1784,1670,114,93.61,6.39,3135,141,26,125,2,535,125,76.67,3.45,0.64,3.06,0.05,13.08,3.06,2517,1572,61.56,38.44,1572,2517,2216,98,7,121,1,27,47,38.44,61.56,54.19,2.4,0.17,2.96,0.02,0.66,1.15,3251,2565,96,17,103,2,382,86,78.9,2.95,0.52,3.17,0.06,11.75,2.65,1088,2163,1934,71,3,99,1,21,34,33.47,66.53,59.49,2.18,0.09,3.05,0.03,0.65,1.05,3.668378577
30,1.78261987,6093,2345,6093,13611.1051,0.6886,2345,2190,155,93.39,6.61,4425,420,35,233,1,739,240,72.62,6.89,0.57,3.82,0.02,12.13,3.94,3918,2175,64.3,35.7,2175,3918,3189,328,13,228,1,70,89,35.7,64.3,52.34,5.38,0.21,3.74,0.02,1.15,1.46,4748,3601,263,17,169,1,551,146,75.84,5.54,0.36,3.56,0.02,11.6,3.07,1555,3193,2712,206,10,168,1,51,45,32.75,67.25,57.12,4.34,0.21,3.54,0.02,1.07,0.95,4.923682915
17,0.90820425,2379,1160,2379,14951.7383,0.3511,1160,1023,137,88.19,11.81,1856,88,8,57,5,277,88,78.02,3.7,0.34,2.4,0.21,11.64,3.7,1557,822,65.45,34.55,822,1557,1349,59,4,52,0,50,43,34.55,65.45,56.7,2.48,0.17,2.19,0,2.1,1.81,1979,1575,63,8,49,4,212,68,79.59,3.18,0.4,2.48,0.2,10.71,3.44,617,1362,1198,45,4,45,0,39,31,31.18,68.82,60.54,2.27,0.2,2.27,0,1.97,1.57,7.145859605
25,0.29562186,3216,1684,3216,28175.7556,0.1141,1684,1575,109,93.53,6.47,3146,20,4,14,2,10,20,97.82,0.62,0.12,0.44,0.06,0.31,0.62,3172,44,98.63,1.37,44,3172,3115,18,4,14,1,1,19,1.37,98.63,96.86,0.56,0.12,0.44,0.03,0.03,0.59,2915,2858,20,4,11,2,7,13,98.04,0.69,0.14,0.38,0.07,0.24,0.45,33,2882,2835,18,4,11,1,1,12,1.13,98.87,97.26,0.62,0.14,0.38,0.03,0.03,0.41,7.773631841
6,0.17038558,1916,999,1916,29124.5584,0.0658,999,927,72,92.79,7.21,1894,3,0,8,0,2,9,98.85,0.16,0,0.42,0,0.1,0.47,1903,13,99.32,0.68,13,1903,1884,3,0,7,0,0,9,0.68,99.32,98.33,0.16,0,0.37,0,0,0.47,1712,1692,2,0,8,0,2,8,98.83,0.12,0,0.47,0,0.12,0.47,13,1699,1682,2,0,7,0,0,8,0.76,99.24,98.25,0.12,0,0.41,0,0,0.47,3.131524008
39,0.27252072,3076,1647,3076,29234.0436,0.1052,1647,1540,107,93.5,6.5,2986,22,1,28,0,13,26,97.07,0.72,0.03,0.91,0,0.42,0.85,3048,28,99.09,0.91,28,3048,2969,20,1,28,0,8,22,0.91,99.09,96.52,0.65,0.03,0.91,0,0.26,0.72,2808,2735,20,1,26,0,11,15,97.4,0.71,0.04,0.93,0,0.39,0.53,24,2784,2720,18,1,26,0,6,13,0.85,99.15,96.87,0.64,0.04,0.93,0,0.21,0.46,12.67880364
30,0.39928043,4904,2543,4904,31810.6711,0.1542,2543,2378,165,93.51,6.49,4686,51,7,86,2,26,46,95.55,1.04,0.14,1.75,0.04,0.53,0.94,4814,90,98.16,1.84,90,4814,4626,50,5,85,2,2,44,1.84,98.16,94.33,1.02,0.1,1.73,0.04,0.04,0.9,4479,4287,47,7,76,1,25,36,95.71,1.05,0.16,1.7,0.02,0.56,0.8,80,4399,4236,46,5,75,1,2,34,1.79,98.21,94.57,1.03,0.11,1.67,0.02,0.04,0.76,6.117455139
50,0.41174353,3571,1942,3571,22462.7246,0.159,1942,1831,111,94.28,5.72,3379,23,3,99,1,22,44,94.62,0.64,0.08,2.77,0.03,0.62,1.23,3499,72,97.98,2.02,72,3499,3343,22,2,99,1,5,27,2.02,97.98,93.62,0.62,0.06,2.77,0.03,0.14,0.76,3266,3109,17,3,89,1,18,29,95.19,0.52,0.09,2.73,0.03,0.55,0.89,55,3211,3077,16,2,89,1,5,21,1.68,98.32,94.21,0.49,0.06,2.73,0.03,0.15,0.64,14.0016802
99,1.89347138,2357,1530,2357,4841.1989,0.7309,1530,1370,160,89.54,10.46,2110,33,7,150,1,17,39,89.52,1.4,0.3,6.36,0.04,0.72,1.65,2265,92,96.1,3.9,92,2265,2039,29,7,150,1,6,33,3.9,96.1,86.51,1.23,0.3,6.36,0.04,0.25,1.4,2236,2014,29,5,136,1,17,34,90.07,1.3,0.22,6.08,0.04,0.76,1.52,80,2156,1952,26,5,136,1,6,30,3.58,96.42,87.3,1.16,0.22,6.08,0.04,0.27,1.34,42.00254561
21,0.12822621,1893,636,1893,38235.3876,0.0495,636,617,19,97.01,2.99,572,489,5,194,0,493,140,30.22,25.83,0.26,10.25,0,26.04,7.4,1016,877,53.67,46.33,877,1016,354,381,1,185,0,37,58,46.33,53.67,18.7,20.13,0.05,9.77,0,1.95,3.06,1175,383,267,4,143,0,300,78,32.6,22.72,0.34,12.17,0,25.53,6.64,525,650,268,196,1,136,0,18,31,44.68,55.32,22.81,16.68,0.09,11.57,0,1.53,2.64,11.09350238
49,0.34122778,3964,2142,3964,30087.6321,0.1317,2142,2002,140,93.46,6.54,3630,43,11,183,1,46,50,91.57,1.08,0.28,4.62,0.03,1.16,1.26,3858,106,97.33,2.67,106,3858,3577,39,6,183,1,11,41,2.67,97.33,90.24,0.98,0.15,4.62,0.03,0.28,1.03,3623,3346,42,9,156,1,33,36,92.35,1.16,0.25,4.31,0.03,0.91,0.99,84,3539,3302,38,5,156,1,9,28,2.32,97.68,91.14,1.05,0.14,4.31,0.03,0.25,0.77,12.36125126
31,0.17303794,3098,1408,3098,46370.3302,0.0668,1408,1239,169,88,12,1526,597,16,346,0,435,178,49.26,19.27,0.52,11.17,0,14.04,5.75,2203,895,71.11,28.89,895,2203,1284,464,3,342,0,49,61,28.89,71.11,41.45,14.98,0.1,11.04,0,1.58,1.97,2244,1252,338,8,261,0,273,112,55.79,15.06,0.36,11.63,0,12.17,4.99,536,1708,1114,265,3,258,0,30,38,23.89,76.11,49.64,11.81,0.13,11.5,0,1.34,1.69,10.00645578
26,0.16527957,2232,1044,2232,34975.6974,0.0638,1044,982,62,94.06,5.94,810,607,20,313,6,340,136,36.29,27.2,0.9,14.02,0.27,15.23,6.09,1297,935,58.11,41.89,935,1297,449,467,7,313,2,9,50,41.89,58.11,20.12,20.92,0.31,14.02,0.09,0.4,2.24,1519,594,404,14,224,3,200,80,39.1,26.6,0.92,14.75,0.2,13.17,5.27,562,957,384,312,6,224,2,5,24,37,63,25.28,20.54,0.39,14.75,0.13,0.33,1.58,11.64874552
