,OFFENSE_CODE,Lat,Long
0,619,42.30060526,-71.05923027
6,614,42.30418639,-71.06554861
7,619,42.38064063,-71.02556481
8,619,42.31162834,-71.08094294
10,619,42.30344073,-71.06674608
12,619,42.32681744,-71.07111038
14,619,42.28079417,-71.07882205
19,619,42.35913205,-71.05504984
33,619,42.3128606,-71.0957278
34,522,42.34266946,-71.14098779
40,619,42.27828097,-71.07602871
44,619,42.24448261,-71.1189921
52,614,42.28816223,-71.07362757
59,619,42.30609597,-71.06425709
64,619,42.23496335,-71.12962264
67,619,42.30340172,-71.0593763
98,616,42.34900739,-71.13860108
102,619,42.3815959,-71.08014887
110,616,42.3656254,-71.06725853
133,619,42.33848236,-71.15288978
137,619,42.34497953,-71.14090626
143,617,42.28536992,-71.17244016
147,522,42.33836272,-71.15441001
159,614,42.31055889,-71.102854
164,1304,42.35256908,-71.07978844
165,617,42.35256908,-71.07978844
168,619,42.3309164,-71.06415106
170,619,-1.0,-1.0
182,619,42.28747035,-71.1515984
200,616,42.34314406,-71.09589305
208,522,42.34134946,-71.15122795
240,616,42.36243437,-71.0639181
242,619,42.35875858,-71.06114052
246,617,42.29234068,-71.04803996
257,614,42.31847226,-71.08409289
263,619,42.2519746,-71.128736
291,301,,
296,617,42.34234193,-71.05633276
302,617,42.3531455,-71.07763936
307,617,42.35300247,-71.0450227
310,1300,42.31117097,-71.0565962
312,619,42.33153509,-71.09534648
326,619,42.31519665,-71.06678387
328,619,42.3093638,-71.08416777
335,617,42.35015241,-71.05753303
337,613,42.35095909,-71.0741278
360,619,42.33434331,-71.05615623
361,619,42.33434331,-71.05615623
362,619,42.33434331,-71.05615623
363,619,42.33434331,-71.05615623
364,619,42.33434331,-71.05615623
365,619,42.33434331,-71.05615623
382,619,42.36045096,-71.05644018
383,616,42.3350667,-71.05388239
386,616,42.34412628,-71.09942777
387,619,42.33434331,-71.05615623
391,617,42.34274131,-71.05735681
395,520,42.32856401,-71.06835343
405,619,42.33153805,-71.08015661
407,520,42.30542129,-71.11325289
423,616,42.34210856,-71.05720719
435,617,42.34285014,-71.06516235
446,615,42.38084743,-71.02707609
457,619,42.33041863,-71.0825013
460,619,42.26512321,-71.12271428
469,617,42.29314152,-71.12204364
480,619,42.31546333,-71.05444093
483,617,42.31610023,-71.07523196
489,617,42.27986353,-71.13184736
491,618,42.29039567,-71.06705308
494,619,42.33192532,-71.08411222
498,619,42.36303798,-71.05524751
502,522,42.34055884,-71.07022771
503,1300,,
506,617,42.27810693,-71.11636523
509,614,42.30649283,-71.08180677
512,1300,-1.0,-1.0
522,617,42.37544927,-71.06710639
533,617,42.34447409,-71.08889326
534,617,42.34676463,-71.08747789
546,616,42.34615178,-71.07404347
547,619,42.33014678,-71.10444485
557,614,42.37448704,-71.06708679
558,619,42.28545883,-71.11802667
559,619,42.3001358,-71.07563344
566,615,42.32411838,-71.06461321
569,619,42.31973262,-71.11275984
577,619,-1.0,-1.0
579,617,42.33561661,-71.03641895
588,522,-1.0,-1.0
592,617,42.34454105,-71.04416497
596,522,-1.0,-1.0
613,619,42.3523119,-71.0637051
614,301,42.3523119,-71.0637051
622,617,42.36643546,-71.06135413
626,617,42.33428841,-71.07239518
632,1304,42.31840989,-71.06829176
637,619,42.35997967,-71.05474135
641,617,42.35370585,-71.05898587
643,614,42.30682138,-71.06030035
644,619,42.35370585,-71.05898587
647,617,42.30291764,-71.07150861
648,619,42.25060071,-71.1325418
656,619,42.26582389,-71.15205431
660,617,42.35433643,-71.07323767
662,619,42.330675,-71.10371734
666,617,42.24690525,-71.12828904
673,520,42.25940183,-71.1173157
678,301,42.28665378,-71.12665398
679,301,42.35919555,-71.05463831
680,619,42.34717363,-71.0964439
702,520,42.33013124,-71.10138008
728,619,42.36373069,-71.05625591
741,617,42.31928523,-71.05027167
742,619,42.37949215,-71.03685008
749,612,42.3612747,-71.05707752
751,617,42.35407456,-71.05533533
755,522,42.34112019,-71.15916542
759,619,42.26216909,-71.12185558
762,522,,
768,617,42.31656425,-71.07811557
769,520,42.24690525,-71.12828904
775,619,42.34412628,-71.09942777
777,617,42.336112,-71.04665434
780,615,42.3437221,-71.0757771
790,522,42.34206511,-71.15860127
798,614,42.34154901,-71.14974484
800,614,42.35943186,-71.06326176
804,301,,
819,614,42.36611988,-71.05845188
821,614,42.30269797,-71.0660148
844,522,42.29004971,-71.07021576
860,522,42.35127685,-71.13587892
862,614,42.27189681,-71.10283363
874,520,,
880,1300,,
881,613,42.28314714,-71.11374152
887,617,42.35095909,-71.0741278
895,617,42.3473098,-71.07915167
900,361,42.26956689,-71.09075049
908,619,42.35739591,-71.07008873
926,522,42.34600287,-71.14387725
931,614,42.36058947,-71.0651034
936,619,42.31803796,-71.11476952
946,617,42.34980175,-71.07840978
970,614,42.31009971,-71.0603428
985,522,42.31794835,-71.08774652
990,522,42.33149483,-71.04411707
1010,613,42.3606447,-71.07086192
1012,615,42.28349153,-71.08991288
1015,561,42.34710196,-71.08841746
1022,520,42.30238881,-71.08539388
1023,560,42.30238881,-71.08539388
1036,1300,42.28933096,-71.08351742
1037,520,42.32696388,-71.10248074
1042,361,42.29903803,-71.05780292
1050,361,42.31743922,-71.07547845
1065,301,,
1070,617,42.35997967,-71.05474135
1083,613,42.28446743,-71.11183089
1088,617,42.335482,-71.07586449
1091,614,42.30944388,-71.08058627
1110,613,42.27222808,-71.07006149
1119,617,42.34255587,-71.09807867
1142,520,42.31531528,-71.07544326
1147,311,42.32474095,-71.1049185
1156,617,42.37671994,-71.06266605
1157,616,42.33760719,-71.0782582
1162,617,42.35283155,-71.13114273
1169,619,42.28396082,-71.08397886
1170,614,42.28396082,-71.08397886
1172,617,42.36284173,-71.13792234
1175,613,42.30254239,-71.0595669
1176,617,42.33606304,-71.10782832
