Total Cases,2015 Cases,2016 Cases,2017 Cases,2018 Cases,2019 Cases,2020 Cases,2021 Cases,Area in Square Kilometers,Population Count,Housing Unit Count,Total Population,Population Density,Total Area (sq miles),Housing Units,Occupied Units,Vacant Units,% Occupied Units,% Vacant Units,% White,% Black ,% American Indian ,% Asian ,% Native Pacific Islander ,% Other ,% Multiracial ,Crime Rate
286,32,40,55,62,15,37,45,0.11689091,3649,2478,3649,80850.5746,0.0451,2478,2302,176,92.9,7.1,86.6,3.48,0.08,6.55,0,1.26,2.03,78.37763771
244,35,60,34,50,2,23,40,0.25658907,2023,1414,2023,20446.3694,0.0989,1414,1250,164,88.4,11.6,73.41,2.67,0.1,20.61,0,1.14,2.08,120.6129511
107,18,21,18,24,5,15,6,0.07678032,1181,721,1181,39837.1471,0.0296,721,675,46,93.62,6.38,89.75,2.62,0.17,5.08,0,1.02,1.35,90.60118544
582,68,106,118,119,14,75,82,0.52760034,3400,1847,3400,19619.3726,0.2033,1847,1632,215,88.36,11.64,69.53,16.91,0.18,9.74,0.03,1.26,2.35,171.1764706
85,16,12,16,17,2,9,13,0.0763459,1954,1377,1954,66288.169,0.0295,1377,1276,101,92.67,7.33,95.6,1.02,0,1.59,0.1,1.02,0.67,43.50051177
168,14,39,34,37,6,18,20,0.06671202,1665,1103,1665,64641.9634,0.0258,1103,1044,59,94.65,5.35,94.89,0.48,0.42,2.22,0.06,0.6,1.32,100.9009009
2995,242,420,428,506,228,671,500,0.92587482,4872,2960,4872,18251.1445,0.3579,2960,2468,492,83.38,16.62,85,5.44,0.29,5.87,0.02,1.52,1.87,614.7372742
260,32,29,49,56,13,32,49,0.10863196,2451,1659,2451,58434.764,0.0419,1659,1513,146,91.2,8.8,94.29,0.57,0.24,3.02,0,0.9,0.98,106.0791514
111,16,18,22,18,5,14,18,0.48342014,2538,1656,2538,34463.6486,0.1866,1656,1457,199,87.98,12.02,93.07,0.63,0,4.26,0,1.02,1.02,43.73522459
157,18,41,29,35,5,14,15,0.32421333,2168,1239,2168,21651.3933,0.1251,1239,1188,51,95.88,4.12,95.8,0.55,0.14,2.12,0,0.6,0.78,72.41697417
363,18,42,43,18,50,116,76,0.14357207,1606,727,1606,28972.2762,0.0554,727,663,64,91.2,8.8,62.76,17.31,0.31,8.09,0,9.09,2.43,226.0273973
261,46,49,54,48,24,17,23,0.28009845,3882,2037,3882,35895.7701,0.1081,2037,1894,143,92.98,7.02,85.03,4.71,0.21,3.84,0.03,3.66,2.52,67.23338485
260,23,58,55,47,5,37,35,0.45842653,2439,1222,2439,14695.9844,0.177,1222,1174,48,96.07,3.93,84.87,2.75,0.21,8.36,0.04,1.93,1.85,106.601066
212,30,49,42,27,5,33,26,1.84762231,2444,1334,2444,4436.1449,0.7129,1334,1238,96,92.8,7.2,93.45,1.55,0,3.64,0.04,0.37,0.94,86.74304419
241,40,43,57,42,2,43,14,1.7049347,3900,2089,3900,10605.4547,0.6587,2089,1876,213,89.8,10.2,62.15,9.51,0.36,18.49,0.21,6.13,3.15,61.79487179
297,42,51,52,50,8,50,44,0.48428792,5115,1850,5115,44192.882,0.1867,1850,1713,137,92.59,7.41,58.34,4.07,0.61,5.73,0,25.32,5.94,58.06451613
587,91,123,72,111,21,77,92,0.24326995,5231,1834,5231,55691.6835,0.0939,1834,1695,139,92.42,7.58,57.6,3.82,0.42,2.47,0.04,29.02,6.63,112.2156375
250,38,44,42,44,16,38,28,0.71942809,2251,1041,2251,16407.553,0.2782,1041,973,68,93.47,6.53,47.36,13.86,0.67,10.53,0,20.61,6.97,111.0617503
155,16,38,35,21,4,16,25,0.13197888,2372,1035,2372,46548.705,0.051,1035,967,68,93.43,6.57,69.1,3.79,0.38,2.82,0,19.31,4.6,65.34569983
69,3,19,16,14,3,6,8,0.11477355,1857,702,1857,41905.3934,0.0443,702,659,43,93.87,6.13,70.49,3.23,0,2.69,0,18.36,5.22,37.15670436
513,39,32,23,34,40,196,149,0.16922806,2063,806,2063,31573.4611,0.0653,806,746,60,92.56,7.44,61.95,2.76,0.39,2.23,0.05,25.3,7.32,248.6669898
252,32,53,61,48,8,29,21,0.27172527,4504,1606,4504,42930.2423,0.1049,1606,1455,151,90.6,9.4,54.42,2.75,0.75,1.95,0.16,34.88,5.08,55.95026643
217,29,42,35,59,3,25,24,0.80907532,4165,1446,4165,17542.2649,0.3124,1446,1324,122,91.56,8.44,66.55,2.38,0.46,2.23,0,23.55,4.83,52.10084034
166,23,37,37,28,3,19,19,1.25445872,4089,1784,4089,10141.157,0.4842,1784,1670,114,93.61,6.39,76.67,3.45,0.64,3.06,0.05,13.08,3.06,40.59672292
241,32,36,48,47,12,39,27,1.78261987,6093,2345,6093,13611.1051,0.6886,2345,2190,155,93.39,6.61,72.62,6.89,0.57,3.82,0.02,12.13,3.94,39.55358608
114,14,20,22,23,3,19,13,0.90820425,2379,1160,2379,14951.7383,0.3511,1160,1023,137,88.19,11.81,78.02,3.7,0.34,2.4,0.21,11.64,3.7,47.91929382
