,OFFENSE_CODE,Lat,Long
0,520,42.33367921810846,-71.09187754618458
7,617,42.31176765436927,-71.09971563708591
10,614,42.32866283555608,-71.08563401183545
11,617,42.272456507370215,-71.10731991584515
14,617,42.33654138026856,-71.15048534785248
22,617,42.36183856656472,-71.05976489094158
24,613,42.34797239824585,-71.07849581587274
28,616,42.25915350082263,-71.15969650136465
29,614,42.34128750439044,-71.05467932649397
34,520,42.3384570804802,-71.07309842849858
38,615,42.34128750439044,-71.05467932649397
39,614,42.31153822707624,-71.06623272344638
46,617,42.34128750439044,-71.05467932649397
48,617,42.33954198983014,-71.06940876967543
51,614,42.27138860803451,-71.06815937933212
54,540,42.3877747458985,-71.0176923100685
58,617,42.348623815554966,-71.08277637086411
76,1300,42.35771003795793,-71.06324996850608
110,617,42.36192791764945,-71.07081973558718
125,613,42.3612220068087,-71.06553899149108
128,619,42.36112531510128,-71.06667211360971
130,617,0.0,0.0
134,613,42.35370857360233,-71.13703909632851
136,301,42.28575202058727,-71.06430902906185
140,613,42.35512339036804,-71.06087979851635
150,619,42.33894226180526,-71.08368605458904
152,301,42.27839920113053,-71.06636305093119
156,619,42.32104456561025,-71.09281973908705
173,614,42.334068846193226,-71.10748198238643
183,613,42.34797239824585,-71.07849581587274
185,617,42.27930647658092,-71.11909810425672
203,617,42.34905600030506,-71.15049849975023
204,619,42.295835183551766,-71.15656561884286
205,614,42.37663166813234,-71.05593195497872
208,617,42.31615184080667,-71.09795135245828
209,301,42.3449342783627,-71.06366373548889
216,614,42.29332003431664,-71.0825600445308
218,617,42.28482576580488,-71.09137368938802
231,520,42.25611295737259,-71.14043885807536
237,617,42.34730979763452,-71.0791516658207
238,614,42.3448118186725,-71.08234323767634
243,613,42.35512339036804,-71.06087979851635
246,301,42.32137427391648,-71.05679486212327
249,613,42.36183856656472,-71.05976489094158
254,611,42.25940182692427,-71.11731569564567
264,613,42.27531311497116,-71.11587797694025
266,613,42.3441262779061,-71.0994277699999
272,613,42.3449342783627,-71.06366373548889
275,617,42.28942827846903,-71.13835951190856
281,614,42.32866283555608,-71.08563401183545
286,301,42.26283035378143,-71.10809202776294
295,617,42.35358821670218,-71.12689571386555
308,617,42.26361744517119,-71.10237386941726
312,617,0.0,0.0
325,301,42.36045095498606,-71.05644018242528
327,617,42.24503321286466,-71.12354978143908
329,619,42.32866283555608,-71.08563401183545
332,619,42.34182317214158,-71.0756298893
356,615,42.37276304176946,-71.03546399907135
361,614,42.34841717808327,-71.062403930137
366,520,42.32859767171083,-71.05363334040032
379,614,42.34128750439044,-71.05467932649397
385,617,42.34128750439044,-71.05467932649397
390,615,42.33428840659416,-71.07239517543796
391,613,42.3441262779061,-71.0994277699999
401,613,42.35512339036804,-71.06087979851635
404,616,42.36183856656472,-71.05976489094158
409,617,42.34740587538171,-71.1353256611246
410,613,42.37620266818903,-71.03979926160173
427,617,42.30573976863983,-71.06762361757636
428,613,42.34840576247316,-71.08688338740227
430,616,42.34489593697122,-71.09659185509307
442,619,42.278371291852494,-71.16850568781835
457,617,42.34128750439044,-71.05467932649397
478,520,42.27615691256162,-71.0955030303829
482,614,42.34800977661188,-71.07669759984445
483,619,42.336955001434205,-71.07746999617991
487,617,42.37129529532274,-71.04342377050337
502,613,42.32696647136389,-71.06198606584843
503,613,42.32809966041151,-71.06321676048991
506,619,42.33954198983014,-71.06940876967543
534,614,42.33954198983014,-71.06940876967543
541,617,42.33221434903629,-71.05344256005989
550,619,42.302542387716045,-71.0595669012164
561,617,42.36542501541603,-71.0595764919967
563,614,42.31596900051565,-71.06625300015122
565,614,42.34905600030506,-71.15049849975023
576,301,42.33738013602302,-71.08388901070228
578,613,42.27130225372019,-71.07442361965835
597,613,42.348623815554966,-71.08277637086411
601,613,42.34999732725388,-71.08103440327558
606,619,42.27442003906775,-71.13863966174264
613,617,42.27668389924565,-71.0924024790431
616,520,42.34128750439044,-71.05467932649397
619,617,42.34905600030506,-71.15049849975023
620,616,0.0,0.0
622,613,42.34797239824585,-71.07849581587274
623,614,42.305532018649366,-71.07031160952137
624,613,42.35512339036804,-71.06087979851635
629,613,0.0,0.0
649,617,42.29755532959655,-71.05970910242573
650,613,42.34797239824585,-71.07849581587274
652,613,42.3481315830497,-71.08027001562783
661,613,42.35512339036804,-71.06087979851635
671,613,42.295696797953255,-71.07214054903721
672,540,42.35903322585772,-71.05880143259539
676,617,42.28524466756344,-71.04079116476858
678,617,42.31508518034225,-71.08508813271443
680,619,42.28482576580488,-71.09137368938802
683,617,42.29290562498191,-71.06955795346268
687,617,42.33561660540492,-71.03641894488216
689,613,42.350959087945945,-71.07412780075079
699,617,42.29755532959655,-71.05970910242573
700,614,42.28678711642872,-71.0449173024135
703,613,42.34657496862653,-71.07438649690918
705,617,42.34905600030506,-71.15049849975023
707,614,0.0,0.0
708,613,42.34439568415443,-71.08632016344815
710,520,42.33954198983014,-71.06940876967543
711,611,42.334137001211474,-71.10465895677197
713,613,42.33014011820346,-71.05695787133254
714,617,42.34128750439044,-71.05467932649397
722,617,42.35892278751083,-71.0583535444055
731,617,42.31396144654966,-71.06685454830861
740,613,42.35512339036804,-71.06087979851635
744,617,0.0,0.0
757,613,42.27130225372019,-71.07442361965835
761,617,42.31915677884405,-71.10067582691826
763,613,42.35591934853282,-71.06000538982026
766,540,42.37465709939964,-71.0382283277359
774,614,42.28709355259107,-71.14822128377165
777,619,42.34905600030506,-71.15049849975023
783,614,42.38067031755967,-71.01840799686521
785,614,0.0,0.0
795,617,0.0,0.0
799,520,42.27615691256162,-71.0955030303829
803,614,42.32866283555608,-71.08563401183545
806,614,42.285484666828026,-71.13894626449726
808,619,42.32872588572028,-71.08382216968015
821,615,42.34905600030506,-71.15049849975023
822,520,42.35458677143736,-71.1267326752679
824,301,42.35512339036804,-71.06087979851635
830,617,42.3571488302436,-71.05191228865877
844,619,42.32146220182472,-71.07803669741372
858,617,42.354873651464594,-71.05861218049148
862,619,42.29755532959655,-71.05970910242573
879,619,42.32203248170463,-71.07719524241662
883,614,42.38162253019812,-71.02294342492442
894,615,42.30811624333165,-71.05961129028341
901,520,42.33221434903629,-71.05344256005989
947,613,0.0,0.0
990,613,42.31016763493557,-71.06291179788761
996,520,42.27170454053611,-71.13079869604505
1000,617,42.33134832636826,-71.10322483100914
1002,615,42.34905600030506,-71.15049849975023
1004,619,42.34128750439044,-71.05467932649397
1007,614,42.36379364845802,-71.05447076168957
1011,614,42.351467909415646,-71.14344114788827
1013,614,0.0,0.0
1014,540,42.35370857360233,-71.13703909632851
1019,614,42.34730979763452,-71.0791516658207
1020,614,42.38549646920823,-71.01681643489226
1034,614,42.34521099876352,-71.0881498703324
1048,520,42.39001125619378,-71.01170313549969
1049,614,42.32430757549392,-71.07141563481197
1054,614,42.34302577508395,-71.05728084982702
1057,613,42.29576380381549,-71.08756001916733
1084,540,42.35591934853282,-71.06000538982026
1091,614,42.33241000293791,-71.1055600000836
1096,614,42.253697098409454,-71.11738508778832
1099,520,42.342555870772095,-71.09807866771153
1101,614,42.253697098409454,-71.11738508778832
1130,614,42.31236626738347,-71.09933739986373
1135,611,42.3520477853277,-71.13180684228018
1136,614,42.30971856767274,-71.10429431787648
1137,614,42.366451884977096,-71.03045719584297
1142,613,42.38423979259207,-71.00003920977797
1147,615,42.27683754247962,-71.09526440075749
1157,613,42.3449342783627,-71.06366373548889
1161,613,42.29848866154386,-71.06313294177963
1168,613,42.35942555542413,-71.05288819167998
1184,520,42.33138383718933,-71.09734803983105
1188,613,42.27531311497116,-71.11587797694025
1190,613,42.348623815554966,-71.08277637086411
1192,613,42.309894536292624,-71.0823185401468
1193,613,42.35942555542413,-71.05288819167998
1197,617,42.29697912496366,-71.11561599215624
1203,617,42.35644660132041,-71.07160006890243
1211,614,42.32866283555608,-71.08563401183545
1215,617,42.346661229937126,-71.10310722474897
1219,614,42.332487592773184,-71.08365801177693
1224,614,42.33682537689817,-71.14880440976953
1233,520,42.33134832636826,-71.10322483100914
1234,520,42.36134724889898,-71.14007235994131
1236,614,42.34905600030506,-71.15049849975023
1243,615,42.380531919083225,-71.0351043887192
1248,614,42.33468351127268,-71.05295207222572
1250,520,42.34905600030506,-71.15049849975023
1278,614,42.33954198983014,-71.06940876967543
1282,617,42.32866283555608,-71.08563401183545
1298,617,42.35602373388715,-71.06177615141588
1299,617,42.35602373388715,-71.06177615141588
1301,613,42.284747838858685,-71.04460309159684
1302,617,42.351627892641815,-71.06866409706335
1303,617,42.35512339036804,-71.06087979851635
1307,614,42.36183856656472,-71.05976489094158
1312,615,42.26361660765917,-71.1033218257162
1313,617,42.35565409997991,-71.06143259018704
1319,613,42.34797239824585,-71.07849581587274
1320,614,42.32866283555608,-71.08563401183545
1322,520,42.352072379909714,-71.05975342200742
1332,613,42.3511800513938,-71.07666606712363
1335,615,42.32938159387133,-71.067044180625
1339,617,42.31635508006852,-71.06593852814775
1341,613,42.35512339036804,-71.06087979851635
1361,613,42.35580706049085,-71.14932167193464
1370,613,0.0,0.0
1372,614,42.34905600030506,-71.15049849975023
1380,613,42.36275239684634,-71.05556460633578
1382,613,0.0,0.0
1384,617,42.29755532959655,-71.05970910242573
1402,520,42.28380230716253,-71.12836196710839
1404,617,42.34905600030506,-71.15049849975023
1407,619,42.25621592040216,-71.12401947329023
1414,614,42.35464971269739,-71.16555034591597
1422,614,42.33898332865663,-71.07748706167702
1439,301,42.31865102227677,-71.08162344281082
1441,540,42.37724638479816,-71.0325970804128
1446,520,42.35451276204959,-71.16481886728174
1450,617,42.3170342394798,-71.11621415946314
1475,613,42.34797239824585,-71.07849581587274
1485,619,42.26274893850885,-71.123241320778
1508,613,42.27130225372019,-71.07442361965835
1509,614,42.28492596377615,-71.07135253614952
1513,619,42.32866283555608,-71.08563401183545
1517,617,42.346174755447535,-71.07925920373032
1529,617,42.33954198983014,-71.06940876967543
1531,617,42.30971856767274,-71.10429431787648
1533,617,42.27531311497116,-71.11587797694025
1538,614,42.29755532959655,-71.05970910242573
1542,614,42.26062899139124,-71.11523335431221
1543,614,0.0,0.0
1547,520,42.34856517714911,-71.13136554568256
