,OFFENSE_CODE,Lat,Long
9,619,42.317950474972136,-71.09617098563778
12,301,42.333184490911954,-71.07393881002383
13,619,42.34905600030506,-71.15049849975023
17,611,42.36183856656472,-71.05976489094158
18,619,0.0,0.0
40,301,42.36183856656472,-71.05976489094158
53,301,42.3510839535051,-71.05939499625386
64,1300,42.25396401916696,-71.12437997642517
68,619,42.29755532959655,-71.05970910242573
80,613,42.33667473977376,-71.15166307832747
95,616,42.33954198983014,-71.06940876967543
96,616,42.34163891531888,-71.05156725081429
97,615,42.377064111808046,-71.06459108180009
104,619,42.36322934177138,-71.12927491272004
108,619,42.33568410921735,-71.03231905071424
110,613,0.0,0.0
113,613,42.348623815554966,-71.08277637086411
114,617,42.28235759317067,-71.13978009627151
119,613,42.3517617903338,-71.07452167494773
124,614,42.37663166813234,-71.05593195497872
155,616,0.0,0.0
156,613,42.34840576247316,-71.08688338740227
159,613,42.25843909227415,-71.12348833479446
164,540,42.31359795493139,-71.09039945625992
165,617,42.3921460283901,-71.0089392217843
168,619,42.33954198983014,-71.06940876967543
171,611,42.33954198983014,-71.06940876967543
173,615,42.32866283555608,-71.08563401183545
178,619,42.32692215364962,-71.05447524995331
181,614,42.32866283555608,-71.08563401183545
182,301,42.29890415003012,-71.08187549442927
186,613,42.3517617903338,-71.07452167494773
192,619,42.29755532959655,-71.05970910242573
193,619,0.0,0.0
195,619,42.29755532959655,-71.05970910242573
230,619,0.0,0.0
231,617,42.33954198983014,-71.06940876967543
234,613,42.31322413144176,-71.05715277240792
236,619,42.30465964150636,-71.05805519729297
254,613,42.34391715771822,-71.08967540650154
261,615,0.0,0.0
277,613,42.31771534184127,-71.09823048867534
282,619,42.36436092917681,-71.05330627278923
287,617,42.285260240740975,-71.06444063187841
302,619,0.0,0.0
304,614,42.33056976709614,-71.0995908942997
311,613,42.31771534184127,-71.09823048867534
323,613,42.364975500233,-71.06204400040731
326,617,42.37850943045962,-71.05817759929762
331,614,42.37506658515438,-71.05910125803027
332,617,42.36481844181863,-71.03039653276099
338,619,42.28709355259107,-71.14822128377165
339,617,42.27130225372019,-71.07442361965835
344,619,42.332108429494895,-71.07014394813551
350,613,42.26701085259021,-71.12096171295192
352,617,42.33954198983014,-71.06940876967543
355,619,0.0,0.0
358,301,42.35272947428534,-71.06256290848422
362,614,42.32850939927665,-71.08043739340364
363,616,42.3517617903338,-71.07452167494773
383,520,42.32451688572547,-71.0837702978704
388,615,42.335621261539046,-71.07582360570268
392,619,42.30971856767274,-71.10429431787648
397,619,42.32075532730373,-71.09035418565783
